sis_learner_id,learner_name,application_date,last_date_of_attendance,created_at,updated_at
66,Student_66,2022-03-07,2022-06-05,2022-03-07,2022-06-05
67,Student_67,2022-03-08,2022-06-06,2022-03-08,2022-06-06
68,Student_68,2022-03-09,2022-06-07,2022-03-09,2022-06-07
69,Student_69,2022-03-10,2022-06-08,2022-03-10,2022-06-08
70,Student_70,2022-03-11,2022-06-09,2022-03-11,2022-06-09
71,Student_71,2022-03-12,2022-06-10,2022-03-12,2022-06-10
72,Student_72,2022-03-13,2022-06-11,2022-03-13,2022-06-11
73,Student_73,2022-03-14,2022-06-12,2022-03-14,2022-06-12
74,Student_74,2022-03-15,2022-06-13,2022-03-15,2022-06-13
75,Student_75,2022-03-16,2022-06-14,2022-03-16,2022-06-14
76,Student_76,2022-03-17,2022-06-15,2022-03-17,2022-06-15
77,Student_77,2022-03-18,2022-06-16,2022-03-18,2022-06-16
78,Student_78,2022-03-19,2022-06-17,2022-03-19,2022-06-17
79,Student_79,2022-03-20,2022-06-18,2022-03-20,2022-06-18
80,Student_80,2022-03-21,2022-06-19,2022-03-21,2022-06-19
81,Student_81,2022-03-22,2022-06-20,2022-03-22,2022-06-20
82,Student_82,2022-03-23,2022-06-21,2022-03-23,2022-06-21
83,Student_83,2022-03-24,2022-06-22,2022-03-24,2022-06-22
84,Student_84,2022-03-25,2022-06-23,2022-03-25,2022-06-23
85,Student_85,2022-03-26,2022-06-24,2022-03-26,2022-06-24
86,Student_86,2022-03-27,2022-06-25,2022-03-27,2022-06-25
87,Student_87,2022-03-28,2022-06-26,2022-03-28,2022-06-26
88,Student_88,2022-03-29,2022-06-27,2022-03-29,2022-06-27
89,Student_89,2022-03-30,2022-06-28,2022-03-30,2022-06-28
90,Student_90,2022-03-31,2022-06-29,2022-03-31,2022-06-29
91,Student_91,2022-04-01,2022-06-30,2022-04-01,2022-06-30
92,Student_92,2022-04-02,2022-07-01,2022-04-02,2022-07-01
93,Student_93,2022-04-03,2022-07-02,2022-04-03,2022-07-02
94,Student_94,2022-04-04,2022-07-03,2022-04-04,2022-07-03
95,Student_95,2022-04-05,2022-07-04,2022-04-05,2022-07-04
96,Student_96,2022-04-06,2022-07-05,2022-04-06,2022-07-05
97,Student_97,2022-04-07,2022-07-06,2022-04-07,2022-07-06
98,Student_98,2022-04-08,2022-07-07,2022-04-08,2022-07-07
99,Student_99,2022-04-09,2022-07-08,2022-04-09,2022-07-08
100,Student_100,2022-04-10,2022-07-09,2022-04-10,2022-07-09
